ID,Gender,Age Group,Course of Study,What is your level of study?,Country of Study,Are you aware of AI tools like ChatGPT?,Do you use AI tools in your education?,"If yes, in what ways do you use AI tools for learning?",Do you use AI tools to understand difficult topics taught in class?,How frequently do you use AI tools for understanding difficult topics?,Do you use AI tools as an aid in completing assignments?,How often do you use AI tools for assignments?,"When completing assignments, do you still conduct additional research beyond AI-generated responses?",How effective do you think AI tools are in explaining difficult topics and improving your understanding?,Can you provide an example of when an AI tool helped you understand a concept better?,How would you describe your dependence on AI tools for school work?,"If you feel dependent on AI tools, in what ways do you rely on them?",Do you have concerns about how frequently you use AI tools for academic work?,"Since you started using AI tools, do you feel your academic performance has improved?",What suggestions do you have for making AI tools more beneficial in education?
1,Female,18-20,Law,Undergraduate,United Kingdom,Yes,Yes,I use it for research,Yes,Sometimes,No,Never,Depending on the assignment,Moderately effective,When I do not understand a particular subject of I need more information ,Not dependent at all,I am not dependent on AI,No,Yes,I only use AI for research 
2,Female,21-23,IT & BIS,Undergraduate,United Kingdom,Yes,Yes,I use AI to facilitate my understanding of my courses,Yes,Often,Yes,Always,Depending on the assignment,Very effective,I sometimes use it to understand my goals for TIME,Moderately dependent,"I use them to modify emails, chats and reports",Yes,Yes,I don't have any 
3,Female,21-23,IT & BIS,Undergraduate,United Kingdom,Yes,Yes,To help clarify issues I have with my course ,Yes,Sometimes,Yes,Sometimes,Yes,Slightly effective,I don’t remember ,Slightly dependent,,Yes,Yes,I have none
4,Female,18-20,IT & BIS,Undergraduate,United Kingdom,Yes,Yes,"To find ideas, find references and do assignments.",No,Sometimes,Yes,Often,Yes,Moderately effective,It simplified the concepts ,Moderately dependent,,Yes,Yes,I do not know
5,Female,21-23,IT & BIS,Undergraduate,United Kingdom,Yes,Yes,I use it for research ,Yes,Sometimes,Yes,Often,Yes,Very effective,I used ChatGPT to break down a concept i learnt in class by asking it to explain to a child ,Moderately dependent,,No,Yes,make it more research-friendly instead of giving straightforward answers 
6,Male,21-23,IT & BIS,Undergraduate,United Kingdom,Yes,Yes,"To break down topics, ",Yes,Often,Yes,Often,Yes,Very effective,With my last semester courses ,Moderately dependent,To understand difficult topics ,No,Yes,I do not know
7,Female,24-26,IT & BIS,Undergraduate,United Kingdom,Yes,Yes,To help break down topics in simple terms ,Yes,Often,Yes,Often,Yes,Very effective,Yes it helped me break down a hard topic to a simple format I could understand ,Slightly dependent,To help explain concepts better,Yes,Yes,To help students on how to use it effectively 
8,Female,18-20,Healthcare Science (Audiology),Undergraduate,United Kingdom,Yes,Yes,I use it to give me an idea of the structure i can use for my assignments,No,Sometimes,Yes,Often,Yes,Moderately effective,When i ask Chat GPT to give me a structure for a case study,Slightly dependent,I rely on them mainly on structure more than content,No,Yes,Introducing it more in courses and examples on how to use it as many people do not know how to use it
9,Male,21-23,IT & BIS,Undergraduate,United Kingdom,Yes,Yes,for studies,Yes,Often,Yes,Sometimes,Yes,Very effective,helped me understand engineering mathematics ,Moderately dependent,i don’t ,No,Yes,allow them to be included safely 
10,Female,18-20,International Relations,Undergraduate,Nigeria ,Yes,Yes,For research purposes ,Yes,Sometimes,Yes,Rarely,Yes,Very effective,Explaining the concept of balance of power in international relations ,Moderately dependent,For research purposes   Explaining complicated topics,Yes,Not sure,Sometimes they don’t give the right answers to some questions which could cause misinformation so maybe fix that
11,Female,18-20,Computer Science,Undergraduate,Nigeria ,Yes,Yes,Stuff😂,Yes,Often,Yes,Often,Yes,Very effective,When I was writing and they boosted my ego,Moderately dependent,I tell chatgpt to boost my ego,Yes,Yes,They should copy what Thea is doing 
12,Male,18-20,Medicine And Surgery,Undergraduate,Nigeria ,Yes,Yes,For further knowledge on the topic I am reading or when I need a simple understanding of the topic   ,Yes,Often,Yes,Sometimes,Depending on the assignment,Very effective,It made me understand the factors affecting cardiac output ,Slightly dependent,For further knowledge   Helping with assignments ,No,Yes,I do not know
13,Female,18-20,Law,Undergraduate,Nigeria,Yes,Yes,Making research and creating calendars.,Yes,Sometimes,No,Rarely,Yes,Moderately effective,ChatGPT ,Not dependent at all,I don’t feel dependent on it,No,Yes,Correct answers 
